ID,Age,Gender,Location,Education Level,Occupation,Salary
83,20,Female,Australia,High School,Freelancer,32655
84,34,Male,India,Diploma,Blue-collar Worker,13543
85,53,Non-binary,Canada,High School,Jobless,5790
86,44,Male,USA,High School,Jobless,16109
87,57,Female,UK,High School,Blue-collar Worker,7419
88,31,Male,Germany,Diploma,Jobless,6078
89,20,Female,USA,High School,Jobless,30293
90,45,Non-binary,Australia,Diploma,Jobless,9406
91,48,Female,India,Bachelor's (Incomplete),Blue-collar Worker,21710
92,57,Non-binary,Germany,Diploma,Blue-collar Worker,8741
93,21,Non-binary,Germany,Diploma,Blue-collar Worker,26786
94,50,Male,Germany,Diploma,Blue-collar Worker,10047
95,45,Female,Germany,High School,Blue-collar Worker,26706
96,26,Male,UK,Bachelor's (Incomplete),Blue-collar Worker,14517
97,44,Male,Australia,Bachelor's (Incomplete),Blue-collar Worker,25071
98,23,Female,China,Diploma,Blue-collar Worker,12206
99,35,Non-binary,Germany,High School,Jobless,29200
